,Abstractive,Lex-t5,Original
0,"And when I started my blog, it was really this one goal -- I said, ""I am not going to be famous to the world, but I could be famous to people on the Internet."" Because the joke in this is that this person is not a tyrant, this person is so loving and so sweet that he lets me dress him up and post pictures of him to my blog. And we started with a slide of my Teds, and I had to add this slide, because I knew the minute I showed this, my mom -- my mom will see this, because she does read my blog and she'll say, ""Why wasn't there a picture of me?"" So, I have all the people that I know of. And to think of what we have the ability to do with our blogs; to think about the people that are on those $100 computers, talking about who they are, sharing these personal stories -- this is an amazing thing. So I do something that's very narcissistic -- I am a blogger -- that is an amazing thing for me, because it captures a moment in time every day. And the last story I really want to tell is this story, because this is probably the one that means the most to me in all of what I'm doing. But the big thing that really influenced us was, her sister wrote to me, and she said -- and she wrote on this blog -- that writing her blog during the last couple of months of her life was probably the best thing that had happened to her, and being able to talk to people and to share what was going on, and being able to write and receive comments. And that was amazing, to be able to know that we had empowered that, and that blogging was something that she felt comfortable doing, and the idea that blogging doesn't have to be scary, that we don't always have to be attack of the blogs, that we can be people who are open, and wanting to help and talk to people. So, this is her legacy, and I think that my call to action to all of you is: think about blogs, think about what they are, think about what you've thought of them, and then actually do it, because it's something that's really going to change our lives.","bob greene: when i started my blog, i said, ""i am not going to be famous to the world, but I could be famous to people on the Internet"" he says my blog captures a moment in time every day. greene: blogging is something that's really going to change our lives.","The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world."
1,"And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said -- they laughed. And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington? (Laughter) But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America. (Applause) Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis? Cars and trucks -- I talked about that in the slideshow, but I want you to put it in perspective. OK. Now, what can you do? Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people. A lot more to be said about that. And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks to come and then give it en masse, in communities all across the country, and we're going to update the slideshow for all of them every single week, to keep it right on the cutting edge. This used to be a bipartisan issue, and I know that in this group it really is.","john avlon: i'm going to give a course this summer on branding. avlon: i'd love to get your advice and help on how to say this in a way that connects with the most people. he says it used to be a bipartisan issue, and in this group it really is. avlon: i'm going to give it en masse, in communities all across the country.","With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming."
2,"(Laughter) Well, if you like that one -- how much time have we got? And it came out, and it was called Microsoft Write. Ok. (Laughter) So there is a limit that we don't want to cross. What do you do here?"" I'm like, ""You're a what?"" So, I'm going to show you an example of a company that does not have a tap counter. (Laughter) This is Microsoft Word. You do not. They just said, ""We'll make this software work right."" And so that's what they did.","Microsoft Write came out, and it was called Microsoft Write. they just said, ""We'll make this software work right.""","New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song."
3,"And the idea there is that outside the spaceship, the universe is implacably hostile, and inside is all we have, all we depend on, and we only get the one chance: if we mess up our spaceship, we've got nowhere else to go. Well, is this a typical place? All you've got to do is go a few hundred miles in that same direction and look back, and you won't see any walls or chemical scum at all -- all you see is a blue planet. And if you go further than that, you'll see the Sun, the solar system and the stars and so on, but that's still not typical of the universe, because stars come in galaxies. It's so dark, that if you were to be looking at the nearest star to you, and that star were to explode as a supernova, and you were to be staring directly at it at the moment when its light reached you, you still wouldn't be able to see even a glimmer. (Laughter) And yet, from intergalactic space, it's so far away you wouldn't even see it. Now, how do we know about an environment that's so far away and so different and so alien from anything we're used to? Now, that is knowledge. Well, again, it's dark out there to human senses, but all you've got to do is take a telescope, even one of present-day design, look out, and you'll see the same galaxies as we do from here. And if we want to be the exception to that, then logically, our only hope is to make use of the one feature that distinguishes our species and civilization from all the others, namely, our special relationship with the laws of physics, our ability to create new explanations, new knowledge -- to be a hub of existence.","if we mess up our spaceship, we've got nowhere else to go. if we mess up our spaceship, we've got nowhere else to go. if we mess up our spaceship, we've got nowhere else to go. if we mess up our spaceship, we've got nowhere else to go.","Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem."
4,"I can't help but this wish: to think about when you're a little kid, and all your friends ask you, ""If a genie could give you one wish in the world, what would it be?"" But in 2003, when the war in Iraq was about to start, it was a very surreal feeling for me, because before the war started, there was kind of this media war that was going on. I didn't even have a camera at the time -- I had somebody bring it there, because I wanted to get access to Al Jazeera, George Bush's favorite channel, and a place which I was very curious about because it's disliked by many governments across the Arab world, and also called the mouthpiece of Osama Bin Laden by some people in the US government. So, the impact that had on me -- me realizing that I just saw people on the other side, and those people in the Al Jazeera office must have felt the way I was feeling that night, and it upset me on a profound level that I wasn't as bothered as much the night before. You know, we're criticized abroad for believing we're the saviors of the world in some way, but the flip side of it is that, actually, when people do see what is happening abroad and people's reactions to some of our policy abroad, we feel this power, that we need to -- we feel like we have to get the power to change things. But I know the power of it, I know that it starts people thinking about how to change the world. And that's what this is about. There's Working Films and there's Current TV, which is an incredible platform for people around the world to be able to put their -- (Applause) Yeah, it's amazing. I know that it's very intangible, touching people's hearts and souls, but the only way that I know how to do it, the only way that I know how to reach out to somebody's heart and soul all across the world, is by showing them a film. But it would be the day that the world comes together through film, the power of film.","john avlon: if a genie could give you one wish in the world, what would it be? avlon: it would be the day that the world comes together through film, the power of film. he says working films and current television are an incredible platform for people. avlon: it would be the day that the world comes together through film.",Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.
5,"And so I want to tell you about that first, and then go on into where I think love is going. You can list what you don't like about them, but then you sweep that aside and focus on what you do. It would be nice to go to bed with them, but you want them to call you on the telephone, to invite you out, etc., to tell you that they love you. And in fact, I think it's more powerful than the sex drive. I'll say just a couple of things, and then go on to sex and love. I don't know why they want to think that men and women are alike. And I say, ""Who do you think these men are sleeping with?"" People around the world, in a study of 37 societies, want to be in love with the person that they marry. Dopamine's associated with romantic love, and you can just fall in love with somebody who you're just having casual sex with. And he knew from our work that if you go and do something very novel with somebody, you can drive up the dopamine in the brain, and perhaps trigger this brain system for romantic love.","people around the world want to be in love with the person that they marry. people around the world want to be in love with the person that they marry. dopamine's associated with romantic love, and you can just fall in love with somebody.","Anthropologist Helen Fisher takes on a tricky topic – love – and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse."
6,"It began with a conversation with a woman. I think if you had told me when I was younger that I was going to grow up, and be in shoe stores, and people would scream out, ""There she is, the Vagina Lady!"" (Laughter) But I want to talk a little bit about happiness, and the relationship to this whole vagina journey, because it has been an extraordinary journey that began eight years ago. I think what I learned from talking about the vagina and speaking about the vagina, is it was the most obvious thing -- it was right in the center of my body and the center of the world -- and yet it was the one thing nobody talked about. What I have learned is two things: one, that the epidemic of violence towards women is shocking; it's global; it is so profound and it is so devastating, and it is so in every little pocket of every little crater, of every little society that we don't even recognize it, because it's become ordinary. What has also happened is in the course of these travels -- and it's been an extraordinary thing -- is that every single place that I have gone to in the world, I have met a new species. (Laughter) But one of the things I've seen is this species -- and it is a species, and it is a new paradigm, and it doesn't get reported in the press or in the media because I don't think good news ever is news, and I don't think people who are transforming the planet are what gets the ratings on TV shows. And it's been really interesting to be in my head for the last two days; I've been very disoriented -- (Laughter) because I think the world, the V-world, is very much in your body. And she came, and she witnessed this, and she decided that she would go back and leave her husband, and that she would bring V-Day to Guatemala. And he had shown up, obviously, in a form that it took me a long time to understand, which is that when we give in the world what we want the most, we heal the broken part inside each of us.","the epidemic of violence towards women is shocking; it's global, says nadine dos santos. dos santos: every single place that i've gone to in the world, I have met a new species. she says if we give in the world what we want most, we heal the broken part inside each of us. dos santos: if we give in the world what we want the most, we heal the broken part inside us","Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness."
7,"And that was: What is the purpose of this? And then when I wrote this book, and all of a sudden, it just took off, and I started saying, now, what's the purpose of this? I just don't believe that. And when you write a book that the first sentence of the book is, ""It's not about you,"" then, when all of a sudden it becomes the best-selling book in history, you've got to figure, well, I guess it's not about me. And I'm going, what do I do with this? And I gave it back because I didn't want anybody thinking that I do what I do for money -- I don't. And as I read that, I looked at it, and I thought, you know, what this is saying is that the purpose of influence is to speak up for those who have no influence. You know, there's a story in the Bible about Moses, whether you believe it's true or not, it really doesn't matter to me. I just, this is why I love what Michael does, because it's like, if he's debunking it, then I don't have to. And if you want to know what you ought to be doing with your life, you need to look at your shape -- ""What am I wired to do?""","the purpose of influence is to speak up for those who have no influence. if you want to know what you ought to be doing, you need to look at your shape. if you want to know what you ought to be doing, you need to look at your shape.","Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good."
8,"It is in this spirit that I join into a discussion of one of the critical issues of our time, namely, how to mobilize different forms of capital for the project of state building. But we are not dealing with the implications of the one world that we are living in. And that is that if we want to have one world, this one world cannot be based on huge pockets of exclusion, and then inclusion for some. Now, the issue that should concern us here -- and that's the challenge that I would like to pose to this group -- is again, it takes 16 years in your countries to produce somebody with a B.S. And I hope that this group would be able to deal with the issue of state and development and the empowerment of the majority of the world's poor, through this means. But we have to understand that we've been incredibly lucky. You know, when I went back in December of 2001, I had absolutely no desire to work with the Afghan government because I'd lived as a nationalist. And what I will say here is that aid doesn't work. They didn't want to give us the money. It's not that it didn't work.",john avlon: we are not dealing with the implications of the one world that we are living in. avlon: it takes 16 years in your countries to produce somebody with a B.S. he says we have been incredibly lucky to be able to work with the Afghan government. avlon: we have to understand that we've been incredibly lucky.,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan."
9,"One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here; just the variety of it and the range of it. But if you are, and you say to somebody, you know, they say, ""What do you do?"" (Applause) That was it, by the way. We were sitting there, and I think they just went out of sequence, because we talked to the little boy afterward and said, ""You OK with that?"" I was. Isn't it? (Laughter) Don't they? If you didn't have a job, it's because you didn't want one. Because you are, aren't you? So, this oak-paneled room, and she was there with her mother, and she was led and sat on this chair at the end, and she sat on her hands for 20 minutes, while this man talked to her mother about all the problems Gillian was having at school, because she was disturbing people, her homework was always late, and so on.","bob greene: if you didn't have a job, it's because you didn't want one. greene: if you didn't have a job, it's because you didn't want one. greene: if you didn't have a job, it's because you didn't want one. greene: if you don't have a job, it's because you didn't want one.",Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.
